patch_path,label
data/patches/fake\2021_patch_49_fake.npy,1
data/patches/real\2023_patch_127.npy,0
data/patches/real\2022_patch_52.npy,0
data/patches/real\2022_patch_79.npy,0
data/patches/real\2025_patch_238.npy,0
data/patches/fake\2024_patch_165_fake.npy,1
data/patches/fake\2024_patch_161_fake.npy,1
data/patches/real\2021_patch_14.npy,0
data/patches/fake\2024_patch_184_fake.npy,1
data/patches/real\2024_patch_198.npy,0
data/patches/real\2023_patch_129.npy,0
data/patches/real\2021_patch_41.npy,0
data/patches/real\2024_patch_184.npy,0
data/patches/real\2023_patch_106.npy,0
data/patches/real\2022_patch_62.npy,0
data/patches/fake\2021_patch_7_fake.npy,1
data/patches/fake\2022_patch_72_fake.npy,1
data/patches/real\2023_patch_105.npy,0
data/patches/fake\2023_patch_136_fake.npy,1
data/patches/fake\2024_patch_195_fake.npy,1
data/patches/real\2025_patch_234.npy,0
data/patches/fake\2024_patch_154_fake.npy,1
data/patches/fake\2021_patch_27_fake.npy,1
data/patches/fake\2024_patch_166_fake.npy,1
data/patches/fake\2022_patch_83_fake.npy,1
data/patches/fake\2025_patch_211_fake.npy,1
data/patches/real\2021_patch_17.npy,0
data/patches/fake\2023_patch_106_fake.npy,1
data/patches/real\2025_patch_226.npy,0
data/patches/real\2022_patch_96.npy,0
data/patches/real\2022_patch_71.npy,0
data/patches/fake\2022_patch_63_fake.npy,1
data/patches/fake\2021_patch_33_fake.npy,1
data/patches/fake\2021_patch_43_fake.npy,1
data/patches/real\2024_patch_181.npy,0
data/patches/fake\2022_patch_81_fake.npy,1
data/patches/real\2023_patch_148.npy,0
data/patches/real\2021_patch_32.npy,0
data/patches/fake\2025_patch_238_fake.npy,1
data/patches/real\2021_patch_40.npy,0
data/patches/fake\2025_patch_201_fake.npy,1
data/patches/real\2021_patch_1.npy,0
data/patches/real\2023_patch_139.npy,0
data/patches/real\2021_patch_22.npy,0
data/patches/real\2024_patch_170.npy,0
data/patches/real\2024_patch_156.npy,0
data/patches/real\2025_patch_213.npy,0
data/patches/real\2023_patch_131.npy,0
data/patches/fake\2023_patch_148_fake.npy,1
data/patches/real\2025_patch_209.npy,0
data/patches/fake\2022_patch_59_fake.npy,1
data/patches/real\2025_patch_217.npy,0
data/patches/fake\2022_patch_74_fake.npy,1
data/patches/real\2025_patch_249.npy,0
data/patches/fake\2021_patch_36_fake.npy,1
data/patches/fake\2025_patch_213_fake.npy,1
data/patches/real\2023_patch_111.npy,0
data/patches/fake\2024_patch_193_fake.npy,1
data/patches/real\2024_patch_152.npy,0
data/patches/fake\2024_patch_183_fake.npy,1
data/patches/fake\2025_patch_220_fake.npy,1
data/patches/real\2021_patch_47.npy,0
data/patches/fake\2023_patch_109_fake.npy,1
data/patches/fake\2023_patch_134_fake.npy,1
data/patches/real\2022_patch_63.npy,0
data/patches/fake\2024_patch_171_fake.npy,1
data/patches/real\2025_patch_244.npy,0
data/patches/fake\2022_patch_85_fake.npy,1
data/patches/real\2025_patch_211.npy,0
data/patches/real\2024_patch_189.npy,0
data/patches/fake\2024_patch_176_fake.npy,1
data/patches/fake\2021_patch_20_fake.npy,1
data/patches/fake\2022_patch_60_fake.npy,1
data/patches/fake\2023_patch_114_fake.npy,1
data/patches/real\2022_patch_98.npy,0
data/patches/fake\2022_patch_76_fake.npy,1
data/patches/fake\2023_patch_132_fake.npy,1
data/patches/real\2024_patch_195.npy,0
data/patches/fake\2022_patch_67_fake.npy,1
data/patches/fake\2022_patch_77_fake.npy,1
data/patches/fake\2023_patch_130_fake.npy,1
data/patches/fake\2023_patch_125_fake.npy,1
data/patches/real\2022_patch_67.npy,0
data/patches/real\2023_patch_138.npy,0
data/patches/real\2022_patch_59.npy,0
data/patches/fake\2022_patch_53_fake.npy,1
data/patches/fake\2022_patch_84_fake.npy,1
data/patches/fake\2021_patch_2_fake.npy,1
data/patches/real\2025_patch_239.npy,0
data/patches/real\2024_patch_151.npy,0
data/patches/real\2022_patch_95.npy,0
data/patches/fake\2022_patch_93_fake.npy,1
data/patches/fake\2024_patch_181_fake.npy,1
data/patches/real\2022_patch_72.npy,0
data/patches/fake\2021_patch_16_fake.npy,1
data/patches/fake\2022_patch_87_fake.npy,1
data/patches/real\2023_patch_116.npy,0
data/patches/real\2021_patch_15.npy,0
data/patches/real\2021_patch_24.npy,0
data/patches/real\2025_patch_219.npy,0
data/patches/fake\2025_patch_221_fake.npy,1
data/patches/fake\2024_patch_160_fake.npy,1
data/patches/fake\2023_patch_100_fake.npy,1
data/patches/fake\2024_patch_164_fake.npy,1
data/patches/fake\2025_patch_247_fake.npy,1
data/patches/fake\2022_patch_64_fake.npy,1
data/patches/real\2023_patch_121.npy,0
data/patches/real\2023_patch_104.npy,0
data/patches/fake\2025_patch_225_fake.npy,1
data/patches/real\2022_patch_82.npy,0
data/patches/real\2023_patch_140.npy,0
data/patches/real\2024_patch_186.npy,0
data/patches/real\2025_patch_242.npy,0
data/patches/fake\2023_patch_147_fake.npy,1
data/patches/fake\2022_patch_94_fake.npy,1
data/patches/real\2024_patch_173.npy,0
data/patches/real\2022_patch_65.npy,0
data/patches/real\2025_patch_202.npy,0
data/patches/fake\2023_patch_126_fake.npy,1
data/patches/fake\2024_patch_179_fake.npy,1
data/patches/real\2023_patch_135.npy,0
data/patches/real\2021_patch_8.npy,0
data/patches/fake\2025_patch_210_fake.npy,1
data/patches/real\2025_patch_212.npy,0
data/patches/real\2025_patch_232.npy,0
data/patches/fake\2021_patch_32_fake.npy,1
data/patches/fake\2025_patch_231_fake.npy,1
data/patches/real\2023_patch_146.npy,0
data/patches/fake\2023_patch_104_fake.npy,1
data/patches/real\2025_patch_240.npy,0
data/patches/fake\2022_patch_55_fake.npy,1
data/patches/fake\2025_patch_243_fake.npy,1
data/patches/fake\2023_patch_139_fake.npy,1
data/patches/fake\2023_patch_108_fake.npy,1
data/patches/real\2025_patch_204.npy,0
data/patches/real\2022_patch_86.npy,0
data/patches/fake\2024_patch_170_fake.npy,1
data/patches/real\2023_patch_136.npy,0
data/patches/fake\2023_patch_135_fake.npy,1
data/patches/fake\2023_patch_101_fake.npy,1
data/patches/real\2024_patch_171.npy,0
data/patches/real\2025_patch_235.npy,0
data/patches/fake\2021_patch_10_fake.npy,1
data/patches/real\2022_patch_97.npy,0
data/patches/real\2022_patch_88.npy,0
data/patches/fake\2021_patch_48_fake.npy,1
data/patches/real\2022_patch_94.npy,0
data/patches/fake\2023_patch_138_fake.npy,1
data/patches/real\2023_patch_113.npy,0
data/patches/fake\2023_patch_127_fake.npy,1
data/patches/fake\2025_patch_217_fake.npy,1
data/patches/real\2024_patch_193.npy,0
data/patches/real\2022_patch_61.npy,0
data/patches/real\2021_patch_49.npy,0
data/patches/real\2021_patch_33.npy,0
data/patches/real\2021_patch_25.npy,0
data/patches/real\2023_patch_119.npy,0
data/patches/fake\2022_patch_71_fake.npy,1
data/patches/fake\2024_patch_163_fake.npy,1
data/patches/real\2023_patch_117.npy,0
data/patches/fake\2022_patch_73_fake.npy,1
data/patches/real\2023_patch_115.npy,0
data/patches/real\2023_patch_124.npy,0
data/patches/fake\2022_patch_91_fake.npy,1
data/patches/real\2023_patch_125.npy,0
data/patches/real\2022_patch_50.npy,0
data/patches/real\2021_patch_16.npy,0
data/patches/fake\2023_patch_103_fake.npy,1
data/patches/real\2023_patch_123.npy,0
data/patches/fake\2022_patch_58_fake.npy,1
data/patches/fake\2021_patch_28_fake.npy,1
data/patches/real\2025_patch_222.npy,0
data/patches/real\2022_patch_76.npy,0
data/patches/fake\2024_patch_189_fake.npy,1
data/patches/fake\2024_patch_178_fake.npy,1
data/patches/real\2023_patch_103.npy,0
data/patches/fake\2024_patch_153_fake.npy,1
data/patches/fake\2021_patch_12_fake.npy,1
data/patches/fake\2023_patch_145_fake.npy,1
data/patches/fake\2021_patch_5_fake.npy,1
data/patches/fake\2025_patch_228_fake.npy,1
data/patches/real\2023_patch_101.npy,0
data/patches/real\2025_patch_233.npy,0
data/patches/fake\2022_patch_56_fake.npy,1
data/patches/fake\2022_patch_66_fake.npy,1
data/patches/real\2023_patch_141.npy,0
data/patches/fake\2024_patch_174_fake.npy,1
data/patches/real\2021_patch_5.npy,0
data/patches/real\2023_patch_100.npy,0
data/patches/real\2021_patch_4.npy,0
data/patches/fake\2025_patch_234_fake.npy,1
data/patches/fake\2023_patch_113_fake.npy,1
data/patches/real\2023_patch_149.npy,0
data/patches/real\2024_patch_178.npy,0
data/patches/fake\2024_patch_159_fake.npy,1
data/patches/real\2025_patch_221.npy,0
data/patches/real\2025_patch_203.npy,0
data/patches/real\2025_patch_243.npy,0
data/patches/fake\2025_patch_240_fake.npy,1
data/patches/fake\2021_patch_15_fake.npy,1
data/patches/fake\2021_patch_38_fake.npy,1
data/patches/real\2022_patch_60.npy,0
data/patches/fake\2025_patch_218_fake.npy,1
data/patches/real\2025_patch_248.npy,0
data/patches/fake\2023_patch_140_fake.npy,1
data/patches/real\2021_patch_46.npy,0
data/patches/fake\2022_patch_50_fake.npy,1
data/patches/fake\2025_patch_216_fake.npy,1
data/patches/real\2024_patch_169.npy,0
data/patches/real\2023_patch_120.npy,0
data/patches/fake\2021_patch_37_fake.npy,1
data/patches/fake\2023_patch_112_fake.npy,1
data/patches/fake\2022_patch_51_fake.npy,1
data/patches/fake\2021_patch_34_fake.npy,1
data/patches/real\2024_patch_160.npy,0
data/patches/fake\2024_patch_151_fake.npy,1
data/patches/fake\2021_patch_19_fake.npy,1
data/patches/real\2024_patch_185.npy,0
data/patches/fake\2024_patch_162_fake.npy,1
data/patches/fake\2025_patch_205_fake.npy,1
data/patches/real\2021_patch_37.npy,0
data/patches/fake\2021_patch_44_fake.npy,1
data/patches/fake\2023_patch_143_fake.npy,1
data/patches/real\2022_patch_74.npy,0
data/patches/real\2022_patch_53.npy,0
data/patches/fake\2021_patch_1_fake.npy,1
data/patches/fake\2021_patch_41_fake.npy,1
data/patches/fake\2024_patch_197_fake.npy,1
data/patches/real\2023_patch_144.npy,0
data/patches/fake\2021_patch_31_fake.npy,1
data/patches/fake\2022_patch_86_fake.npy,1
data/patches/fake\2021_patch_9_fake.npy,1
data/patches/real\2024_patch_191.npy,0
data/patches/real\2025_patch_214.npy,0
data/patches/fake\2024_patch_169_fake.npy,1
data/patches/real\2021_patch_13.npy,0
data/patches/real\2023_patch_143.npy,0
data/patches/fake\2025_patch_223_fake.npy,1
data/patches/real\2021_patch_6.npy,0
data/patches/fake\2022_patch_69_fake.npy,1
data/patches/real\2023_patch_112.npy,0
data/patches/fake\2023_patch_119_fake.npy,1
data/patches/real\2024_patch_182.npy,0
data/patches/fake\2021_patch_35_fake.npy,1
data/patches/fake\2022_patch_89_fake.npy,1
data/patches/fake\2022_patch_79_fake.npy,1
data/patches/real\2024_patch_180.npy,0
data/patches/real\2025_patch_205.npy,0
data/patches/fake\2024_patch_168_fake.npy,1
data/patches/real\2025_patch_215.npy,0
data/patches/real\2024_patch_163.npy,0
data/patches/real\2025_patch_223.npy,0
data/patches/real\2024_patch_177.npy,0
data/patches/fake\2023_patch_142_fake.npy,1
data/patches/fake\2023_patch_118_fake.npy,1
data/patches/real\2023_patch_137.npy,0
data/patches/fake\2024_patch_152_fake.npy,1
data/patches/real\2024_patch_183.npy,0
data/patches/real\2021_patch_26.npy,0
data/patches/fake\2024_patch_187_fake.npy,1
data/patches/real\2022_patch_75.npy,0
data/patches/real\2025_patch_218.npy,0
data/patches/fake\2021_patch_13_fake.npy,1
data/patches/fake\2022_patch_97_fake.npy,1
data/patches/fake\2025_patch_244_fake.npy,1
data/patches/fake\2022_patch_82_fake.npy,1
data/patches/real\2023_patch_134.npy,0
data/patches/real\2025_patch_231.npy,0
data/patches/fake\2024_patch_156_fake.npy,1
data/patches/fake\2025_patch_204_fake.npy,1
data/patches/real\2022_patch_91.npy,0
data/patches/real\2022_patch_54.npy,0
